,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
287,Maharashtra,Solapur,310807,Anup Fertilizer ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),8.64,2024-01-11,
288,Maharashtra,Solapur,310807,Anup Fertilizer ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,7.0,2024-01-11,
289,Maharashtra,Solapur,589129,Baliraja Krishi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.25,2024-01-11,
290,Maharashtra,Solapur,375831,Bhainath Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),106.2,2024-01-11,
291,Maharashtra,Solapur,375831,Bhainath Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,10.0,2024-01-11,
292,Maharashtra,Solapur,375831,Bhainath Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,30.0,2024-01-11,
293,Maharashtra,Solapur,1305082,GREEN AGREVOLUTION PVT LTD ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,12.0,2024-01-11,
294,Maharashtra,Solapur,310929,Jijamata Krishi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,5.0,2024-01-11,
295,Maharashtra,Solapur,1147097,Kisan krushi Keandra Tembhurni,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),16.065,2024-01-11,
296,Maharashtra,Solapur,620998,KRUSHA GODAVARI KBBUVVSS.LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),69.795,2024-01-11,
297,Maharashtra,Solapur,620998,KRUSHA GODAVARI KBBUVVSS.LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,7.55,2024-01-11,
298,Maharashtra,Solapur,620998,KRUSHA GODAVARI KBBUVVSS.LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,48.35,2024-01-11,
299,Maharashtra,Solapur,310996,Manikraj Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),27.45,2024-01-11,
300,Maharashtra,Solapur,310996,Manikraj Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,8.5,2024-01-11,
301,Maharashtra,Solapur,310996,Manikraj Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 15-15-15,5.0,2024-01-11,
302,Maharashtra,Solapur,310996,Manikraj Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,9.15,2024-01-11,
303,Maharashtra,Solapur,324664,Motichand Ramchand Gandhi,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.25,2024-01-11,
304,Maharashtra,Solapur,324666,M/S Fulchand Ramchand Gandhi,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.35,2024-01-11,
305,Maharashtra,Solapur,741523,Ms. R B Mane Agro Services,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),115.695,2024-01-11,
306,Maharashtra,Solapur,741523,Ms. R B Mane Agro Services,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,17.3,2024-01-11,
307,Maharashtra,Solapur,741523,Ms. R B Mane Agro Services,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
308,Maharashtra,Solapur,311081,Parmeshwar Krushi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.25,2024-01-11,
309,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),30.0,2024-01-11,
310,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),8.0,2024-01-11,
311,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,9.0,2024-01-11,
312,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 15-15-15,5.0,2024-01-11,
313,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,10.0,2024-01-11,
314,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,9.0,2024-01-11,
315,Maharashtra,Solapur,311086,Phade Trading Company,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 12-32-16,5.0,2024-01-11,
316,Maharashtra,Solapur,311107,Rahul Krushi Kendra Mohol,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.2,2024-01-11,
317,Maharashtra,Solapur,311115,Ramchand Jaychand Gandhi,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.605,2024-01-11,
318,Maharashtra,Solapur,311231,Trimurti Krushi Kendra Kamti  ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),0.225,2024-01-11,
319,Maharashtra,Wardha,293715,Maidc Wardha ,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.81,2024-01-11,
320,Maharashtra,Wardha,293715,Maidc Wardha ,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),4.95,2024-01-11,
321,Maharashtra,Wardha,293715,Maidc Wardha ,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Import,Imported DAP,0.65,2024-01-11,
322,Maharashtra,Wardha,293716,Markfed,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),94.05,2024-01-11,
323,Maharashtra,Wardha,214515,Padmawar Agro Agencies ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),10.395,2024-01-11,
324,Maharashtra,Wardha,214515,Padmawar Agro Agencies ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,84.5,2024-01-11,
325,Maharashtra,Wardha,293718,Ramdeo Traders ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,46.45,2024-01-11,
326,Maharashtra,Wardha,293718,Ramdeo Traders ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,56.9,2024-01-11,
327,Maharashtra,Wardha,293718,Ramdeo Traders ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,5.05,2024-01-11,
328,Maharashtra,Wardha,293721,Shrinath Traders,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.2,2024-01-11,
329,Maharashtra,Wardha,293721,Shrinath Traders,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,29.85,2024-01-11,
330,Maharashtra,Wardha,1229319,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),17.6,2024-01-11,
331,Maharashtra,Wardha,1229319,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,5.0,2024-01-11,
332,Maharashtra,Wardha,1229319,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,13.0,2024-01-11,
333,Maharashtra,Wardha,1229319,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,1.7,2024-01-11,
334,Maharashtra,Wardha,215065,V.C.M.F. Wardha ,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.585,2024-01-11,
335,Maharashtra,Wardha,215065,V.C.M.F. Wardha ,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported DAP,1.65,2024-01-11,
336,Maharashtra,Yavatmal,276988,ANUP AGENCIES MAHAGAON,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.35,2024-01-11,
337,Maharashtra,Yavatmal,206239,Atharv Agro Agencies Pusad,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,4.0,2024-01-11,
338,Maharashtra,Yavatmal,269895,Jain Krushi Kendra Umarkhed,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.135,2024-01-11,
339,Maharashtra,Yavatmal,600514,JAYKANT A.A. WANI,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.005,2024-01-11,
340,Maharashtra,Yavatmal,293753,Kiran Krishi Kendra Pusad ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.8,2024-01-11,
341,Maharashtra,Yavatmal,293753,Kiran Krishi Kendra Pusad ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,30.0,2024-01-11,
342,Maharashtra,Yavatmal,293753,Kiran Krishi Kendra Pusad ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),30.465,2024-01-11,
343,Maharashtra,Yavatmal,1176001,NILAWAR KRUSHI KENDRA ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,3.0,2024-01-11,
344,Maharashtra,Yavatmal,529735,Om Agro Pusad,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,1.0,2024-01-11,
345,Maharashtra,Yavatmal,206295,Om Agro  Yavatmal,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),6.6,2024-01-11,
346,Maharashtra,Yavatmal,206299,Parag Agro Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
347,Maharashtra,Yavatmal,206299,Parag Agro Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,14.0,2024-01-11,
348,Maharashtra,Yavatmal,206311,Rajendra Agencies Pusad ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),39.645,2024-01-11,
349,Maharashtra,Yavatmal,1329102,SHETKARI K.K. DIGRAS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),25.02,2024-01-11,
350,Maharashtra,Yavatmal,1329102,SHETKARI K.K. DIGRAS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,15.0,2024-01-11,
351,Maharashtra,Yavatmal,695843,Shirake Agro Yavatmal,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),9.0,2024-01-11,
352,Maharashtra,Yavatmal,695843,Shirake Agro Yavatmal,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,12.0,2024-01-11,
353,Maharashtra,Yavatmal,298803,Shivam Agro Agencies Pusad,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),42.885,2024-01-11,
354,Maharashtra,Yavatmal,298803,Shivam Agro Agencies Pusad,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,11.0,2024-01-11,
355,Maharashtra,Yavatmal,298803,Shivam Agro Agencies Pusad,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,38.0,2024-01-11,
356,Maharashtra,Yavatmal,1229321,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),32.265,2024-01-11,
357,Maharashtra,Yavatmal,1229321,SRI BALAJI FARMERS WELFARE A.S,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,36.0,2024-01-11,
358,Maharashtra,Yavatmal,1235251,SUNANDA FERTILIZERS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.08,2024-01-11,
359,Maharashtra,Yavatmal,1235251,SUNANDA FERTILIZERS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,7.0,2024-01-11,
360,Maharashtra,Yavatmal,1235251,SUNANDA FERTILIZERS,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
361,Maharashtra,Yavatmal,557755,UDAY AGRO YAVATMAL,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),30.15,2024-01-11,
362,Maharashtra,Yavatmal,557755,UDAY AGRO YAVATMAL,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,15.0,2024-01-11,
