,,,WholeSaler Stock As On Today(in MT)
S.No,State,District,Dealer Id,Agency Name,Dealer Type,Dealership Nature,Company,Plant,Product,Stock,Stock Date
48,Maharashtra,Dhule,370673,Krushi Vaibhav,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.85,2024-01-11,
49,Maharashtra,Dhule,118115,Shantilal Lalchand,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,2.95,2024-01-11,
50,Maharashtra,Dhule,118115,Shantilal Lalchand,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,3.0,2024-01-11,
51,Maharashtra,Dhule,118123,Shree Krushi Vikas Kendra,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),25.2,2024-01-11,
52,Maharashtra,Gadchiroli,222443,Kanhaiya Traders,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.675,2024-01-11,
53,Maharashtra,Gadchiroli,306088,Lahari Krushi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),15.3,2024-01-11,
54,Maharashtra,Gadchiroli,306088,Lahari Krushi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,43.75,2024-01-11,
55,Maharashtra,Gadchiroli,647043,MADHUKARRAO R.PULLURWAR AGRO M,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),4.05,2024-01-11,
56,Maharashtra,Gadchiroli,222448,Maharashtra Krushi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),64.35,2024-01-11,
57,Maharashtra,Gadchiroli,435086,Nakade  Krishi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),29.7,2024-01-11,
58,Maharashtra,Gadchiroli,435086,Nakade  Krishi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,4.5,2024-01-11,
59,Maharashtra,Gadchiroli,222440,Shetakari Krushi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),36.45,2024-01-11,
60,Maharashtra,Gadchiroli,222440,Shetakari Krushi Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,21.2,2024-01-11,
61,Maharashtra,Gondia,212269,Deepani Krishi Kendra  Tiroda,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),4.05,2024-01-11,
